OBJECTID,name,lat,lon,wd_mon_mn,wd_mon_af,wd_mon_ev,wd_mon_nh,wd_tue_mn,wd_tue_af,wd_tue_ev,wd_tue_nh,wd_wed_mn,wd_wed_af,wd_wed_ev,wd_wed_nh,wd_thu_mn,wd_thu_af,wd_thu_ev,wd_thu_nh,wd_fri_mn,wd_fri_af,wd_fri_ev,wd_fri_nh,ss_sat_2h,ss_sat_4h,ss_sat_6h,ss_sat_8h,ss_sat_10h,ss_sat_12h,ss_sat_14h,ss_sat_16h,ss_sat_18h,ss_sat_20h,ss_sat_22h,ss_sat_24h,ss_sun_2h,ss_sun_4h,ss_sun_6h,ss_sun_8h,ss_sun_10h,ss_sun_12h,ss_sun_14h,ss_sun_16h,ss_sun_18h,ss_sun_20h,ss_sun_22h,ss_sun_24h,type,healthy
1515,Golden Cafe @Katong,1.304097312,103.9015159,1,5,5.5,0,1,5,5.5,0,1,5,5.5,0,1,5,5.5,0,1,5,5.5,0,0,0,0,0,0,2,2,2,2,2,1.5,0,0,0,0,0,0,2,2,2,2,2,1.5,0,foodcourt,1
1516,KATONG FOOD COURT,1.304097312,103.9015159,1,5,5.5,0,1,5,5.5,0,1,5,5.5,0,1,5,5.5,0,1,5,5.5,0,0,0,0,0,0,2,2,2,2,2,1.5,0,0,0,0,0,0,2,2,2,2,2,1.5,0,foodcourt,1
1517,Food Junction,1.350481979,103.8487608,1,5,6,0,1,5,6,0,1,5,6,0,1,5,6,0,1,5,6,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,0,foodcourt,1
1518,HONG YUN CATERING SERVICES PTE LTD,1.289157929,103.6263975,2,5,2.5,0,2,5,2.5,0,2,5,2.5,0,2,5,2.5,0,2,5,2.5,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1519,FOOD CANOPY PTE. LTD.,1.443763003,103.7842815,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1520,FOODIES GARDEN,1.372651672,103.8937463,1,5,6,0,1,5,6,0,1,5,6,0,1,5,6,0,1,5,6,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,0,foodcourt,1
1521,Kopitiam Investment Pte Ltd,1.375715307,103.8794723,3.5,5,5.75,0,3.5,5,5.75,0,3.5,5,5.75,0,3.5,5,5.75,0,3.5,5,5.75,0,0,0,0,0.5,2,2,2,2,2,2,1.75,0,0,0,0,0.5,2,2,2,2,2,2,1.75,0,foodcourt,1
1522,Kopitiam Investment Pte Ltd,1.371710178,103.8942478,4,5,6,8.983333333,4,5,6,8.983333333,4,5,6,8.983333333,4,5,6,8.983333333,4,5,6,8.983333333,2,2,2,2,2,2,2,2,2,2,2,1.983333333,2,2,2,2,2,2,2,2,2,2,2,1.983333333,foodcourt,1
1523,FINE FOOD,1.342658164,103.6810014,4,5,4,0,4,5,4,0,4,5,4,0,4,5,4,0,4,5,4,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,foodcourt,1
1524,FOODIES' CALN,1.352021308,103.860772,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,4,5,6,0,0,0,0,1,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,0,foodcourt,1
