latitude,longitude,time,id
-6.1600766,106.8177527,2024-11-25 09:37:58.599000+07:00,loc_75
-6.1600769,106.8177523,2024-11-25 09:37:58.699000+07:00,loc_76
-6.1600773,106.8177521,2024-11-25 09:37:58.799000+07:00,loc_77
-6.1600773,106.817752,2024-11-25 09:37:58.898000+07:00,loc_78
-6.1600773,106.8177517,2024-11-25 09:37:59+07:00,loc_79
-6.1600774,106.8177515,2024-11-25 09:37:59.099000+07:00,loc_80
-6.1600775,106.8177514,2024-11-25 09:37:59.199000+07:00,loc_81
-6.1600774,106.8177512,2024-11-25 09:37:59.299000+07:00,loc_82
-6.1600776,106.8177511,2024-11-25 09:37:59.398000+07:00,loc_83
-6.1600775,106.8177512,2024-11-25 09:37:59.498000+07:00,loc_84
-6.1600777,106.8177511,2024-11-25 09:37:59.599000+07:00,loc_85
-6.1600778,106.8177513,2024-11-25 09:37:59.699000+07:00,loc_86
-6.1600778,106.8177512,2024-11-25 09:37:59.799000+07:00,loc_87
-6.1600778,106.817751,2024-11-25 09:37:59.898000+07:00,loc_88
-6.1600778,106.817751,2024-11-25 09:38:00+07:00,loc_89
-6.1600778,106.817751,2024-11-25 09:38:00.099000+07:00,loc_90
-6.160078,106.8177511,2024-11-25 09:38:00.199000+07:00,loc_91
-6.160078,106.8177511,2024-11-25 09:38:00.299000+07:00,loc_92
-6.160078,106.8177511,2024-11-25 09:38:00.398000+07:00,loc_93
-6.1600781,106.8177511,2024-11-25 09:38:00.498000+07:00,loc_94
-6.1600781,106.8177511,2024-11-25 09:38:00.599000+07:00,loc_95
-6.1600781,106.8177512,2024-11-25 09:38:00.699000+07:00,loc_96
-6.1600781,106.8177512,2024-11-25 09:38:00.799000+07:00,loc_97
-6.1600781,106.8177512,2024-11-25 09:38:00.898000+07:00,loc_98
-6.1600781,106.8177512,2024-11-25 09:38:01+07:00,loc_99
-6.1600782,106.8177512,2024-11-25 09:38:01.099000+07:00,loc_100
-6.1600782,106.817751,2024-11-25 09:38:01.199000+07:00,loc_101
-6.1600782,106.8177512,2024-11-25 09:38:01.299000+07:00,loc_102
-6.1600783,106.8177512,2024-11-25 09:38:01.398000+07:00,loc_103
-6.1600781,106.8177513,2024-11-25 09:38:01.498000+07:00,loc_104
-6.1600783,106.8177512,2024-11-25 09:38:01.599000+07:00,loc_105
-6.1600791,106.8177506,2024-11-25 09:38:01.699000+07:00,loc_106
-6.1600794,106.8177501,2024-11-25 09:38:01.799000+07:00,loc_107
-6.1600797,106.8177499,2024-11-25 09:38:01.898000+07:00,loc_108
-6.1600799,106.8177501,2024-11-25 09:38:02+07:00,loc_109
-6.1600802,106.8177501,2024-11-25 09:38:02.099000+07:00,loc_110
-6.1600805,106.8177501,2024-11-25 09:38:02.199000+07:00,loc_111
-6.1600806,106.8177501,2024-11-25 09:38:02.299000+07:00,loc_112
-6.1600808,106.8177499,2024-11-25 09:38:02.398000+07:00,loc_113
-6.1600809,106.8177499,2024-11-25 09:38:02.498000+07:00,loc_114
-6.160081,106.8177498,2024-11-25 09:38:02.599000+07:00,loc_115
-6.1600811,106.8177498,2024-11-25 09:38:02.699000+07:00,loc_116
-6.1600812,106.8177497,2024-11-25 09:38:02.799000+07:00,loc_117
-6.1600814,106.8177497,2024-11-25 09:38:02.898000+07:00,loc_118
-6.1600815,106.8177496,2024-11-25 09:38:03+07:00,loc_119
-6.1600816,106.8177495,2024-11-25 09:38:03.099000+07:00,loc_120
-6.1600817,106.8177495,2024-11-25 09:38:03.199000+07:00,loc_121
-6.1600819,106.8177494,2024-11-25 09:38:03.299000+07:00,loc_122
-6.1600818,106.8177492,2024-11-25 09:38:03.398000+07:00,loc_123
-6.160082,106.8177492,2024-11-25 09:38:03.498000+07:00,loc_124
-6.1600822,106.8177491,2024-11-25 09:38:03.599000+07:00,loc_125
-6.1600824,106.8177491,2024-11-25 09:38:03.699000+07:00,loc_126
-6.1600826,106.817749,2024-11-25 09:38:03.799000+07:00,loc_127
-6.1600828,106.817749,2024-11-25 09:38:03.898000+07:00,loc_128
-6.1600829,106.8177489,2024-11-25 09:38:04+07:00,loc_129
-6.1600831,106.817749,2024-11-25 09:38:04.099000+07:00,loc_130
-6.1600832,106.8177489,2024-11-25 09:38:04.199000+07:00,loc_131
-6.1600834,106.8177488,2024-11-25 09:38:04.299000+07:00,loc_132
-6.1600836,106.8177489,2024-11-25 09:38:04.398000+07:00,loc_133
-6.1600838,106.8177489,2024-11-25 09:38:04.498000+07:00,loc_134
-6.1600839,106.8177488,2024-11-25 09:38:04.599000+07:00,loc_135
-6.1600842,106.8177488,2024-11-25 09:38:04.699000+07:00,loc_136
-6.1600843,106.8177488,2024-11-25 09:38:04.799000+07:00,loc_137
-6.1600845,106.8177488,2024-11-25 09:38:04.898000+07:00,loc_138
-6.1600848,106.8177488,2024-11-25 09:38:05+07:00,loc_139
-6.1600849,106.8177488,2024-11-25 09:38:05.099000+07:00,loc_140
-6.160085,106.8177489,2024-11-25 09:38:05.199000+07:00,loc_141
-6.1600851,106.8177489,2024-11-25 09:38:05.299000+07:00,loc_142
-6.1600851,106.8177489,2024-11-25 09:38:05.398000+07:00,loc_143
-6.1600853,106.8177489,2024-11-25 09:38:05.498000+07:00,loc_144
-6.1600854,106.817749,2024-11-25 09:38:05.599000+07:00,loc_145
-6.1600855,106.817749,2024-11-25 09:38:05.699000+07:00,loc_146
-6.1600855,106.8177491,2024-11-25 09:38:05.799000+07:00,loc_147
-6.1600857,106.817749,2024-11-25 09:38:05.898000+07:00,loc_148
-6.1600857,106.817749,2024-11-25 09:38:06+07:00,loc_149
-6.1600859,106.8177489,2024-11-25 09:38:06.099000+07:00,loc_150
-6.160086,106.8177488,2024-11-25 09:38:06.199000+07:00,loc_151
-6.160086,106.8177489,2024-11-25 09:38:06.299000+07:00,loc_152
-6.1600858,106.8177489,2024-11-25 09:38:06.398000+07:00,loc_153
-6.160086,106.8177491,2024-11-25 09:38:06.498000+07:00,loc_154
-6.160086,106.8177493,2024-11-25 09:38:06.599000+07:00,loc_155
-6.1600863,106.8177496,2024-11-25 09:38:06.699000+07:00,loc_156
-6.1600862,106.8177499,2024-11-25 09:38:06.799000+07:00,loc_157
-6.1600862,106.8177505,2024-11-25 09:38:06.898000+07:00,loc_158
-6.1600861,106.8177507,2024-11-25 09:38:07+07:00,loc_159
-6.1600864,106.8177509,2024-11-25 09:38:07.099000+07:00,loc_160
-6.1600866,106.8177512,2024-11-25 09:38:07.199000+07:00,loc_161
-6.1600866,106.8177512,2024-11-25 09:38:07.299000+07:00,loc_162
-6.1600867,106.8177512,2024-11-25 09:38:07.398000+07:00,loc_163
-6.1600867,106.8177512,2024-11-25 09:38:07.498000+07:00,loc_164
-6.1600868,106.8177512,2024-11-25 09:38:07.599000+07:00,loc_165
-6.1600866,106.8177513,2024-11-25 09:38:07.699000+07:00,loc_166
-6.1600868,106.8177515,2024-11-25 09:38:07.799000+07:00,loc_167
-6.1600869,106.8177517,2024-11-25 09:38:07.898000+07:00,loc_168
