Location,No. of Cases
Lasia Avenue,4
Maple Avenue,1
Maple Lane,1
Sixth Avenue,3
Sixth Avenue(Sixth Avenue Ville),1
Bedok Rise,2
Bedok Rise(The Glades),5
Bedok Terrace,3
Jalan Langgar Bedok,2
Jalan Limau Nipis,1
Ang Mo Kio Avenue 5(Blk 601),1
Ang Mo Kio Avenue 5(Blk 602),7
Ang Mo Kio Avenue 5(Blk 604),1
Yio Chu Kang Road(The Calrose),3
Bukit Batok East Avenue 5(Blk 241),1
Bukit Batok Street 52(Blk 501),3
Bukit Batok Street 52(Blk 506),1
Bukit Batok Street 52(Blk 510),2
Ah Soo Garden,3
Lorong Ah Soo,2
Paya Lebar Crescent,3
Ang Mo Kio Avenue 9(Blk 623),1
Ang Mo Kio Avenue 9(Blk 625),1
Ang Mo Kio Avenue 9(Blk 651A),1
Ang Mo Kio Street 61,1
Jurong West Street 61(Blk 648B),2
Jurong West Street 61(Blk 648C),1
Jurong West Street 61(Blk 649B),1
Jurong West Street 61(Blk 650C),1
Ang Mo Kio Avenue 10(Blk 578),1
Ang Mo Kio Avenue 3(Blk 571),1
Bedok North Avenue 4(Blk 95),1
Bedok North Avenue 4(Blk 96),1
Jurong West Avenue 1(Blk 430),1
Jurong West Street 42(Blk 420),1
Woodlands Street 13(Blk 182B),1
Woodlands Street 13(Blk 183B),1
Bukit Batok West Avenue 6(Blk 185),1
Bukit Batok West Avenue 6(Blk 186),1
Bukit Batok West Avenue 6(Blk 188),1
Bukit Batok West Avenue 6(Blk 189),1
Bukit Batok West Avenue 6(Blk 192),1
Old Choa Chu Kang Road,3
Jurong West Street 42(Blk 401),1
Jurong West Street 42(Blk 433),1
Yishun Avenue 4(Blk 860),1
Yishun Avenue 4(Blk 863),1
